L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
0.01102136989637341781,0.0087704762028392758977,49361880994.570381165,55372051676.908531189,-8.0110861952468219727,6.6698625314374751532e-09,0.00067216031969159859439,0.00089964756029641608937,4651.6700944172553136,7417.8976157763499941
0.043609810170535848184,0.0037622670204202957912,51351811591.233963013,93831051147.929885864,-5.7082922382784504478,1.3817645915699029085e-08,0.00081992725698273969271,0.00029219044032142982292,4172.9636002206070771,7747.1511823810405986
0.065110622991393612979,0.0053559194036554170354,79652433694.644104004,45072263061.568260193,-17.040305091552578887,1.7867183443097019161e-08,0.00027167680183037970021,0.0004683858725095101528,2924.6473954639618569,8205.5077902998345962
0.073016778520781908113,0.005940083226161116392,49253697211.972297668,19680337321.330020905,-1.7927378741059163403,1.7271896780129474873e-08,0.0005383936844944924114,0.00070971106109661563632,3979.6516350375727598,7000.1080851071092184
0.024493263151726344523,0.0029468419481752635217,62410194462.821914673,67294401104.233406067,-2.0648099393885628317,1.7494087135183668091e-08,0.00040982802189412897292,0.00087036562253272426945,1326.6191297800369284,5687.4712862481692355
0.046485283494221651956,0.0075519603032395054773,56141434087.949539185,20786245492.18744278,-3.6442188241724942088,8.6230045629772390708e-09,0.00017884680632448141514,0.00039692927244907672078,4242.1136103766566521,7843.8470572437381634
0.097392067512214228198,0.0060857186410975261381,7066701611.069357872,46384971429.307472229,-14.288697024941770408,2.9570543537647715033e-09,0.00038336470694437838709,0.00026785827999369158509,4121.8383811050280201,5298.8129133818729315
0.062787773531297122465,0.0095319668238665750115,18633664793.629974365,21476745301.148269653,-12.611589086526812764,5.4490486371559318423e-09,0.0001674510938895173019,0.00095985066283487286559,1360.4890277425242857,5783.0022116112531876
0.018359549394044816922,0.0059641143698078184429,85208952588.592163086,65336938467.499305725,-14.212131874268937537,1.980553295733664997e-08,0.00014597094820159066332,0.00080468463194774679948,2278.745225294840111,9308.0361696463260159
0.04165771018325244851,0.004325674225727875466,37859884296.478652954,41890182858.747512817,-15.233723328092006355,2.3628162245092990391e-09,0.00056443150973153844926,0.0001575937066961050439,2032.9454788160257976,6482.4730281170795934
